,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Low,Low,Low,Low,Low,High,High,High,High,High,Volume,Volume,Volume,Volume,Volume
,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy
MNTK,0.772723,0.146199,0.333333,0.203252,0.438596,0.732851,0.163743,0.333333,0.219608,0.491228,0.689372,0.163743,0.333333,0.219608,0.491228,0.769372,0.146199,0.333333,0.203252,0.438596,6435875369380.123,0.494048,0.344444,0.238373,0.491228
MPC,31.152254,0.482143,0.34375,0.225963,0.45614,32.014065,0.116959,0.333333,0.17316,0.350877,39.816235,0.134503,0.333333,0.191667,0.403509,32.667037,0.146199,0.333333,0.203252,0.438596,2281320435867586.0,0.47037,0.424466,0.400045,0.631579
MSFT,62.925151,0.469118,0.451407,0.418301,0.631579,61.243313,0.270588,0.280397,0.258838,0.403509,74.879714,0.293981,0.312242,0.255856,0.438596,64.35283,0.30875,0.30875,0.304094,0.45614,77498003689408.2,0.357143,0.345,0.311261,0.561404
NEE,0.68,0.473532,0.47601,0.467591,0.701754,1.993505,0.28959,0.300662,0.281532,0.473684,1.216653,0.349343,0.350529,0.344532,0.526316,1.377168,0.39206,0.393862,0.385185,0.578947,21951130557996.33,0.440476,0.385185,0.350573,0.596491
NOW,348.514722,0.513957,0.516667,0.513867,0.77193,507.314265,0.272379,0.274194,0.267901,0.403509,366.873367,0.397531,0.397373,0.397329,0.596491,478.998692,0.417701,0.42328,0.407361,0.614035,3960151738228.544,0.152047,0.333333,0.208835,0.45614
NVDA,25.505485,0.406667,0.408355,0.397329,0.596491,46.694796,0.367378,0.362338,0.323685,0.491228,34.904492,0.358974,0.35671,0.325807,0.491228,20.871683,0.396141,0.400794,0.392255,0.596491,3175708658768891.5,0.371171,0.367901,0.357917,0.54386
ORCL,152.497081,0.447619,0.42684,0.381667,0.578947,220.658987,0.368519,0.359649,0.286667,0.438596,155.906989,0.409045,0.40045,0.349314,0.526316,172.066796,0.433566,0.407792,0.354798,0.54386,93792054840976.44,0.505952,0.345238,0.250439,0.526316
PPL,0.377321,0.52381,0.425287,0.386568,0.631579,0.480537,0.343137,0.337037,0.282828,0.526316,0.394046,0.484277,0.375,0.281866,0.491228,0.48702,0.480769,0.385417,0.294535,0.491228,21064083145499.65,0.4,0.400833,0.397329,0.596491
PSX,5.976763,0.486667,0.401961,0.323867,0.526316,6.569522,0.379252,0.357143,0.271861,0.438596,7.634474,0.415033,0.365801,0.273082,0.45614,9.044877,0.493827,0.365591,0.27549,0.508772,5136002793993.597,0.349057,0.337469,0.274603,0.54386
PYPL,7.848563,0.496732,0.395833,0.324561,0.54386,4.44893,0.354798,0.354798,0.354798,0.54386,8.017245,0.462963,0.361111,0.237949,0.421053,3.811135,0.384615,0.378333,0.357917,0.54386,350116381751533.75,0.506173,0.367816,0.290142,0.54386
QCOM,9.935387,0.469907,0.406534,0.358559,0.578947,9.510994,0.268254,0.282465,0.253623,0.403509,15.508233,0.45679,0.36036,0.23018,0.403509,8.468687,0.309524,0.321667,0.255856,0.438596,191270614614326.88,0.5,0.344828,0.244444,0.508772
SEDG,71.887996,0.189542,0.27619,0.224806,0.508772,103.398018,0.374214,0.344589,0.301282,0.614035,69.527251,0.251634,0.300866,0.256368,0.54386,85.95279,0.239744,0.303143,0.238373,0.491228,51819856916463.41,0.400527,0.375309,0.350877,0.578947
SHEL,0.948412,0.382075,0.346753,0.237949,0.421053,0.902867,0.331002,0.334188,0.299003,0.473684,1.191464,0.415033,0.365801,0.273082,0.45614,1.102795,0.472727,0.352941,0.233618,0.438596,6005324305839.771,0.418627,0.404938,0.389118,0.596491
SMCI,2.620013,0.538177,0.538177,0.538012,0.807018,5.733436,0.343972,0.339506,0.30654,0.526316,4.399257,0.415603,0.382779,0.321212,0.508772,5.453307,0.377551,0.355844,0.334921,0.614035,2884737308862349.0,0.364198,0.339646,0.233618,0.438596
SO,4.573586,0.163743,0.333333,0.219608,0.491228,4.760919,0.152047,0.333333,0.208835,0.45614,5.879706,0.134503,0.333333,0.191667,0.403509,4.264768,0.146199,0.333333,0.203252,0.438596,3313858707636.088,0.520833,0.433333,0.393846,0.631579
TSLA,93.230365,0.506926,0.499173,0.49036,0.736842,205.92491,0.433673,0.381773,0.34188,0.578947,170.247349,0.388889,0.389599,0.389118,0.596491,141.054049,0.485185,0.434568,0.419829,0.666667,4533082743117313.0,0.511905,0.345679,0.256368,0.54386
TXN,28.016048,0.419048,0.373016,0.280817,0.45614,33.96172,0.240741,0.314449,0.200337,0.385965,38.346359,0.369497,0.343694,0.222296,0.385965,34.817754,0.257576,0.32063,0.156349,0.280702,17430038317243.754,0.512766,0.437965,0.423077,0.684211
XOM,3.803194,0.462963,0.403333,0.349259,0.561404,3.513636,0.391768,0.38125,0.354798,0.54386,4.846214,0.356028,0.346567,0.298474,0.491228,3.816859,0.384762,0.356061,0.281532,0.473684,33182553350610.07,0.41347,0.410509,0.407361,0.614035
